Ticker
SX5E Index
DAX Index
CAC Index
UKX Index
SMI Index
SXXP Index
AEX Index
IBEX Index
FTSEMIB Index
OMX Index
V2X Index
VDAX Index
VCAC Index
A2A IM Equity
AAK SS Equity
ABI BB Equity
ACA FP Equity
ACS SQ Equity
AED BB Equity
AENA SQ Equity
AIBG ID Equity
AIR FP Equity
AIXA GY Equity
ALFA SS Equity
ALO FP Equity
AMS SQ Equity
ARCAD NA Equity
ASM NA Equity
ASML NA Equity
ASRNL NA Equity
AZE BB Equity
AZM IM Equity
BALDB SS Equity
BAS GY Equity
BAYN GY Equity
BBVA SQ Equity
BC IM Equity
BEAN SE Equity
BEZ LN Equity
BG AV Equity
BN FP Equity
BPE IM Equity
BZU IM Equity
CA FP Equity
CABK SQ Equity
CBK GY Equity
CRH LN Equity
DBK GY Equity
DHER GY Equity
DHL GY Equity
DIE BB Equity
DRX LN Equity
DSFIR NA Equity
DSV DC Equity
DTE GY Equity
EBS AV Equity
EL FP Equity
ELE SQ Equity
ELIS FP Equity
EN FP Equity
ENGI FP Equity
ENI IM Equity
ENR GY Equity
ENX FP Equity
EVK GY Equity
FBK IM Equity
FER SQ Equity
FGR FP Equity
FLS DC Equity
FRVIA FP Equity
G24 GY Equity
GALP PL Equity
GET FP Equity
GLE FP Equity
GRF SQ Equity
GTT FP Equity
HO FP Equity
HOLN SE Equity
HUSQB SS Equity
HZY IM Equity
IAG LN Equity
IFX GY Equity
IG IM Equity
INGA NA Equity
IPN FP Equity
JMT PL Equity
KCR FH Equity
KER FP Equity
KGX GY Equity
KYGA ID Equity
LDO IM Equity
LOGN SE Equity
MAERSKB DC Equity
MKS LN Equity
MRL SQ Equity
MT NA Equity
MUV2 GY Equity
MYCR SS Equity
NDX1 GY Equity
NESTE FH Equity
NEX FP Equity
NEXI IM Equity
NHY NO Equity
NN NA Equity
NOKIA FP Equity
ORA FP Equity
ORK NO Equity
ORNBV FH Equity
RBI AV Equity
REP SQ Equity
RHM GY Equity
RMS FP Equity
RTO LN Equity
RWE GY Equity
RYA ID Equity
SAB SQ Equity
SAF FP Equity
SAN SQ Equity
SAP GY Equity
SBMO NA Equity
SCYR SQ Equity
SDZ SE Equity
SESG FP Equity
SGO FP Equity
SKFB SS Equity
SOF BB Equity
SOP FP Equity
SPIE FP Equity
SSABB SS Equity
TEF SQ Equity
TEL NO Equity
TEN IM Equity
TEP FP Equity
TIT IM Equity
TKA GY Equity
UCG IM Equity
UMI BB Equity
