Ticker
SX5E Index
DAX Index
CAC Index
UKX Index
SMI Index
SXXP Index
AEX Index
IBEX Index
FTSEMIB Index
OMX Index
V2X Index
VDAX Index
VCAC Index
A2A IM Equity
AAK SS Equity
AAL LN Equity
ABI BB Equity
AC FP Equity
ACA FP Equity
ACKB BB Equity
ACLN SE Equity
ACS SQ Equity
ADP FP Equity
ADS GY Equity
AED BB Equity
AENA SQ Equity
AFX GY Equity
AHT LN Equity
AI FP Equity
AIBG ID Equity
AIR FP Equity
AIXA GY Equity
AKE FP Equity
AKRBP NO Equity
ALC SE Equity
ALFA SS Equity
ALLFG NA Equity
ALO FP Equity
ALTA FP Equity
AM FP Equity
AMP IM Equity
AMS SQ Equity
ANA SQ Equity
ARCAD NA Equity
ASM NA Equity
ASML NA Equity
ASRNL NA Equity
AZE BB Equity
AZM IM Equity
BA/ LN Equity
BAKKA NO Equity
BALDB SS Equity
BAS GY Equity
BAVA DC Equity
BAYN GY Equity
BBVA SQ Equity
BC IM Equity
BCP PL Equity
BEAN SE Equity
BESI NA Equity
BEZ LN Equity
BG AV Equity
BMPS IM Equity
BMW GY Equity
BN FP Equity
BNP FP Equity
BPE IM Equity
BTRW LN Equity
BZU IM Equity
CA FP Equity
CABK SQ Equity
CAST SS Equity
CBK GY Equity
CNA LN Equity
COLOB DC Equity
COV FP Equity
CRH LN Equity
CS FP Equity
CTEC LN Equity
DANSKE DC Equity
DBK GY Equity
DHER GY Equity
DHL GY Equity
DIE BB Equity
DNB NO Equity
DRX LN Equity
DSFIR NA Equity
DSV DC Equity
DSY FP Equity
DTE GY Equity
EBS AV Equity
EDEN FP Equity
EDP PL Equity
EDPR PL Equity
EL FP Equity
ELE SQ Equity
ELIS FP Equity
ELUXB SS Equity
EN FP Equity
ENGI FP Equity
ENI IM Equity
ENR GY Equity
ENX FP Equity
ERICB SS Equity
EVK GY Equity
FBK IM Equity
FDJU FP Equity
FER SQ Equity
FGR FP Equity
FLS DC Equity
FME GY Equity
FR FP Equity
FRES LN Equity
FRVIA FP Equity
FUR NA Equity
G24 GY Equity
GALP PL Equity
GET FP Equity
GFC FP Equity
GLB ID Equity
GLE FP Equity
GN DC Equity
GRF SQ Equity
GTT FP Equity
HEI GY Equity
HNR1 GY Equity
HO FP Equity
HOLMB SS Equity
HOLN SE Equity
HOT GY Equity
HPOLB SS Equity
HUSQB SS Equity
HZY IM Equity
IAG LN Equity
ICG LN Equity
IFX GY Equity
IG IM Equity
IGG LN Equity
INDUC SS Equity
INGA NA Equity
INVEB SS Equity
IP IM Equity
IPN FP Equity
ISP IM Equity
ITX SQ Equity
JMAT LN Equity
JMT PL Equity
JYSK DC Equity
KBX GY Equity
KCR FH Equity
KER FP Equity
KGX GY Equity
KOG NO Equity
KYGA ID Equity
LDO IM Equity
LEG GY Equity
LHA GY Equity
LI FP Equity
LOGN SE Equity
LOTB BB Equity
LR FP Equity
LSEG LN Equity
MAERSKB DC Equity
MC FP Equity
METSO FH Equity
MF FP Equity
MKS LN Equity
MMS FP Equity
MRL SQ Equity
MT NA Equity
MTX GY Equity
MUV2 GY Equity
MYCR SS Equity
NDA FH Equity
NDX1 GY Equity
NESN SE Equity
NESTE FH Equity
NEX FP Equity
NEXI IM Equity
NHY NO Equity
NIBEB SS Equity
NKT DC Equity
NN NA Equity
NOD NO Equity
NOKIA FP Equity
NORION SS Equity
NOVN SE Equity
NOVOB DC Equity
NSISB DC Equity
NTGY SQ Equity
NWG LN Equity
OMV AV Equity
ORA FP Equity
ORK NO Equity
ORNBV FH Equity
PAH3 GY Equity
PRX NA Equity
PRY IM Equity
PSPN SE Equity
PUB FP Equity
PUM GY Equity
RACE IM Equity
RAND NA Equity
RBI AV Equity
RED SQ Equity
REP SQ Equity
RHM GY Equity
RMS FP Equity
RNO FP Equity
ROCKB DC Equity
RTO LN Equity
RUI FP Equity
RWE GY Equity
RXL FP Equity
RYA ID Equity
SAABB SS Equity
SAB SQ Equity
SAF FP Equity
SAGAB SS Equity
SALM NO Equity
SAN SQ Equity
SAP GY Equity
SB1NO NO Equity
SBMO NA Equity
SCYR SQ Equity
SDF GY Equity
SDZ SE Equity
SECTB SS Equity
SESG FP Equity
SGE LN Equity
SGO FP Equity
SHELL NA Equity
SK FP Equity
SKAB SS Equity
SKFB SS Equity
SOBI SS Equity
SOF BB Equity
SOP FP Equity
SPIE FP Equity
SRT3 GY Equity
SSABB SS Equity
SU FP Equity
SWECB SS Equity
TEF SQ Equity
TEL NO Equity
TEMN SE Equity
TEN IM Equity
TEP FP Equity
TIT IM Equity
TKA GY Equity
TLX GY Equity
TTE FP Equity
UCG IM Equity
UMI BB Equity
URW FP Equity
VIE FP Equity
VOE AV Equity
VOW3 GY Equity
VRLA FP Equity
WAGA FP Equity
XXSC GT Equity
