Ticker
A2A IM
AAK SS
AAL LN
AALB NA
ABBN SE
ABDN LN
ABF LN
ABI BB
ABN NA
AC FP
ACA FP
ACKB BB
ACLN SE
ACS SQ
AD NA
ADDTB SS
ADEN SE
ADM LN
ADP FP
ADS GY
ADYEN NA
AED BB
AENA SQ
AFX GY
AG1 GY
AGN NA
AGS BB
AHT LN
AI FP
AIBG ID
AIR FP
AKE FP
AKRBP NO
AKZA NA
ALC SE
ALE PW
ALFA SS
ALKB DC
ALLFG NA
ALLN SE
ALO FP
ALV GY
AM FP
AMBUB DC
AMP IM
AMS SQ
AMUN FP
ANA SQ
ANDR AV
ANTO LN
ARCAD NA
ARGX BB
ASM NA
ASML NA
ASRNL NA
ASSAB SS
ATCOA SS
ATE FP
AUTO LN
AV/ LN
AVOL SE
AXFO SS
AZA SS
AZE BB
AZM IM
AZN LN
BA/ LN
BAER SE
BAKKA NO
BALDB SS
BALN SE
BAMI IM
BANB SE
BARC LN
BARN SE
BAS GY
BATS LN
BAVA DC
BAYN GY
BBOX LN
BBVA SQ
BBY LN
BC IM
BC8 GY
BCP PL
BCVN SE
BEAN SE
BEI GY
BEIJB SS
BESI NA
BEZ LN
BG AV
BGN IM
BIM FP
BIRG ID
BKG LN
BKT SQ
BKW SE
BLND LN
BME LN
BMED IM
BMPS IM
BMW GY
BN FP
BNP FP
BNR GY
BNZL LN
BOL FP
BOL SS
BP/ LN
BPE IM
BPSO IM
BPT LN
BRBY LN
BT/A LN
BTRW LN
BUCN SE
BVI FP
BWY LN
BYG LN
BZU IM
CA FP
CABK SQ
CAP FP
CARLB DC
CAST SS
CBK GY
CCC LN
CCH LN
CCL LN
CDI FP
CDR PW
CFR SE
CLN SE
CLNX SQ
CMBN SE
CNA LN
COFB BB
COLOB DC
CON GY
COTN SE
COV FP
CPG LN
CPR IM
CRDA LN
CS FP
CTEC LN
CVC NA
CWK LN
DANSKE DC
DB1 GY
DBK GY
DCC LN
DEMANT DC
DG FP
DGE LN
DHER GY
DHL GY
DIA IM
DIE BB
DIM FP
DKSH SE
DLG LN
DLN LN
DNB NO
DNP PW
DPLM LN
DRX LN
DSFIR NA
DSV DC
DSY FP
DTE GY
DTG GY
EBS AV
EDEN FP
EDP PL
EDPR PL
EKTAB SS
EL FP
ELE SQ
ELI BB
ELIS FP
ELISA FH
ELUXB SS
EMBRACB SS
EMG LN
EMSN SE
EN FP
ENEL IM
ENG SQ
ENGI FP
ENI IM
ENR GY
ENT LN
ENX FP
EOAN GY
EPIA SS
EQNR NO
EQT SS
ERF FP
ERICB SS
ESSITYB SS
EVD GY
EVK GY
EVO SS
EXO NA
EXPN LN
EZJ LN
FBK IM
FDJU FP
FER SQ
FGR FP
FHZN SE
FLS DC
FME GY
FNOX SS
FNTN GY
FORTUM FH
FPE3 GY
FR FP
FRE GY
FRO NO
FUR NA
G IM
G1A GY
G24 GY
GALD SE
GALE SE
GALP PL
GAW LN
GBLB BB
GEBN SE
GET FP
GETIB SS
GF SE
GFC FP
GFTU LN
GIVN SE
GJF NO
GLB ID
GLE FP
GLEN LN
GMAB DC
GN DC
GRF SQ
GRG LN
GSK LN
GTT FP
GXI GY
HAG GY
HEI GY
HEIA NA
HEIO NA
HELN SE
HEM SS
HEN3 GY
HER IM
HEXAB SS
HIAB FH
HIK LN
HLMA LN
HLN LN
HMB SS
HNR1 GY
HO FP
HOLMB SS
HOLN SE
HOT GY
HPOLB SS
HSBA LN
HSX LN
HUH1V FH
HUSQB SS
HWDN LN
IAG LN
IBE SQ
ICG LN
IDS LN
IFCN SE
IFX GY
IG IM
IGG LN
IHG LN
III LN
IMB LN
IMCD NA
IMI LN
INCH LN
INDT SS
INDUC SS
INF LN
INGA NA
INPST NA
INVEB SS
INVP LN
INW IM
IP IM
IPN FP
ISP IM
ISS DC
ITRK LN
ITV LN
ITX SQ
IVG IM
JD/ LN
JDEP NA
JMAT LN
JMT PL
JYSK DC
KBC BB
KBX GY
KCR FH
KEMIRA FH
KER FP
KESKOB FH
KGF LN
KGH PW
KGX GY
KINVB SS
KNEBV FH
KNIN SE
KOG NO
KPN NA
KSP ID
KYGA ID
LAGRB SS
LAND LN
LATOB SS
LDO IM
LEG GY
LGEN LN
LHA GY
LI FP
LIFCOB SS
LIGHT NA
LISP SE
LLOY LN
LMP LN
LOGN SE
LONN SE
LOOMIS SS
LOTB BB
LPP PW
LR FP
LSEG LN
LUNDB SS
LXS GY
MAERSKB DC
MANTA FH
MAP SQ
MB IM
MBG GY
MC FP
METSO FH
MF FP
MKS LN
ML FP
MNDI LN
MNG LN
MONC IM
MOWI NO
MRK GY
MRL SQ
MRO LN
MT NA
MTX GY
MUV2 GY
MYCR SS
NDA FH
NDA GY
NEM GY
NESN SE
NESTE FH
NEX FP
NEXI IM
NG/ LN
NHY NO
NIBEB SS
NKT DC
NN NA
NOKIA FH
NOVN SE
NOVOB DC
NSISB DC
NTGY SQ
NWG LN
NXT LN
OCDO LN
OMV AV
OR FP
ORA FP
ORK NO
ORNBV FH
ORSTED DC
P911 GY
PAH3 GY
PEO PW
PGHN SE
PHIA NA
PHNX LN
PKN PW
PKO PW
PLUS LN
PNDORA DC
PNN LN
PRU LN
PRX NA
PRY IM
PSN LN
PSON LN
PSPN SE
PST IM
PTEC LN
PUB FP
PUIG SQ
PUM GY
PZU PW
QIA GY
QQ/ LN
RAA GY
RACE IM
RAND NA
RBI AV
RBREW DC
RDC GY
REC IM
RED SQ
REL LN
REP SQ
REY IM
RF FP
RHM GY
RI FP
RILBA DC
RIO LN
RKT LN
RMS FP
RMV LN
RNO FP
ROCKB DC
ROG SE
ROR LN
RR/ LN
RS1 LN
RTO LN
RUI FP
RWE GY
RXL FP
RYA ID
SAABB SS
SAB SQ
SAF FP
SAFE LN
SAGAB SS
SALM NO
SAMPO FH
SAN FP
SAN SQ
SAND SS
SAP GY
SAVE SS
SB1NO NO
SBMO NA
SBRY LN
SCAB SS
SCHP SE
SCMN SE
SCR FP
SCT LN
SDF GY
SDR LN
SDZ SE
SEBA SS
SECTB SS
SECUB SS
SFSN SE
SFZN SE
SGE LN
SGO FP
SGRO LN
SGSN SE
SHBA SS
SHC LN
SHELL NA
SHL GY
SIE GY
SIGN SE
SIKA SE
SK FP
SKAB SS
SKFB SS
SLHN SE
SMIN LN
SN/ LN
SOBI SS
SOF BB
SOON SE
SOP FP
SPIE FP
SPL PW
SPM IM
SPSN SE
SPX LN
SQN SE
SREN SE
SRG IM
SRP LN
SRT3 GY
SSABB SS
SSE LN
STAN LN
STB NO
STERV FH
STJ LN
STLAM IM
STMMI IM
STMN SE
SU FP
SUBC NO
SUN SE
SUNN SE
SVT LN
SW FP
SWECB SS
SWEDA SS
SXS LN
SY1 GY
SYDB DC
SYENS BB
TATE LN
TBCG LN
TCAP LN
TE FP
TECN SE
